ring,col,wave_height_mm,wave_width_mm,strut_width_mm,gap_above_mm,gap_below_mm,upper_chord_center_mm,upper_sagitta_center_mm,upper_outer_sagitta_mm,lower_chord_center_mm,lower_sagitta_center_mm,lower_outer_sagitta_mm,theta_deg,Rc_mm
1,0,1.371429,0.706858,0.06,,0.16,0.299589,0.142148,0.170578,0.299589,0.142148,0.170578,173.998805,0.15
1,1,1.395238,0.706858,0.06,,0.095,0.299607,0.142325,0.170791,0.299607,0.142325,0.170791,174.134547,0.15
1,2,1.371429,0.706858,0.06,,0.16,0.299589,0.142148,0.170578,0.299589,0.142148,0.170578,173.998805,0.15
1,3,1.395238,0.706858,0.06,,0.095,0.299607,0.142325,0.170791,0.299607,0.142325,0.170791,174.134547,0.15
1,4,1.371429,0.706858,0.06,,0.16,0.299589,0.142148,0.170578,0.299589,0.142148,0.170578,173.998805,0.15
1,5,1.395238,0.706858,0.06,,0.095,0.299607,0.142325,0.170791,0.299607,0.142325,0.170791,174.134547,0.15
1,6,1.371429,0.706858,0.06,,0.16,0.299589,0.142148,0.170578,0.299589,0.142148,0.170578,173.998805,0.15
1,7,1.395238,0.706858,0.06,,0.095,0.299607,0.142325,0.170791,0.299607,0.142325,0.170791,174.134547,0.15
2,0,1.142857,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
2,1,1.162698,0.706858,0.05,0.095,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
2,2,1.142857,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
2,3,1.162698,0.706858,0.05,0.095,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
2,4,1.142857,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
2,5,1.162698,0.706858,0.05,0.095,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
2,6,1.142857,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
2,7,1.162698,0.706858,0.05,0.095,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
3,0,1.142857,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
3,1,1.162698,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
3,2,1.142857,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
3,3,1.162698,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
3,4,1.142857,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
3,5,1.162698,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
3,6,1.142857,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
3,7,1.162698,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
4,0,1.142857,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
4,1,1.162698,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
4,2,1.142857,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
4,3,1.162698,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
4,4,1.142857,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
4,5,1.162698,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
4,6,1.142857,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
4,7,1.162698,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
5,0,1.142857,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
5,1,1.162698,0.706858,0.05,0.16,0.1,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
5,2,1.142857,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
5,3,1.162698,0.706858,0.05,0.16,0.1,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
5,4,1.142857,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
5,5,1.162698,0.706858,0.05,0.16,0.1,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
5,6,1.142857,0.706858,0.05,0.16,0.16,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
5,7,1.162698,0.706858,0.05,0.16,0.1,0.353429,0.106341,0.119634,0.353429,0.106341,0.119634,124.152829,0.2
6,0,1.257143,0.706858,0.06,0.16,,0.29948,0.141169,0.169403,0.29948,0.141169,0.169403,173.249916,0.15
6,1,1.278968,0.706858,0.06,0.1,,0.299504,0.141374,0.169649,0.299504,0.141374,0.169649,173.406891,0.15
6,2,1.257143,0.706858,0.06,0.16,,0.29948,0.141169,0.169403,0.29948,0.141169,0.169403,173.249916,0.15
6,3,1.278968,0.706858,0.06,0.1,,0.299504,0.141374,0.169649,0.299504,0.141374,0.169649,173.406891,0.15
6,4,1.257143,0.706858,0.06,0.16,,0.29948,0.141169,0.169403,0.29948,0.141169,0.169403,173.249916,0.15
6,5,1.278968,0.706858,0.06,0.1,,0.299504,0.141374,0.169649,0.299504,0.141374,0.169649,173.406891,0.15
6,6,1.257143,0.706858,0.06,0.16,,0.29948,0.141169,0.169403,0.29948,0.141169,0.169403,173.249916,0.15
6,7,1.278968,0.706858,0.06,0.1,,0.299504,0.141374,0.169649,0.299504,0.141374,0.169649,173.406891,0.15
